_framework_ref,id,framework,domain,sub_domain,control,detail
5.3.1,PCI DSS v4.0-5.3.1,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,"5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.",5.3.1 The anti-malware solution(s) is kept current via automatic updates.,
5.3.2,PCI DSS v4.0-5.3.2,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,"5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.",5.3.2 The anti-malware solution(s): • Performs periodic scans and active or real-time scans OR  • Performs continuous behavioral analysis of systems or processes.,
5.3.2.1,PCI DSS v4.0-5.3.2.1,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,"5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.","5.3.2.1 If periodic malware scans are performed to meet Requirement 5.3.2, the frequency of scans is defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1.  Applicability Notes This requirement applies to entities conducting periodic malware scans to meet Requirement 5.3.2. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
5.3.3,PCI DSS v4.0-5.3.3,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,"5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.","5.3.3 For removable electronic media, the anti-malware solution(s):  • Performs automatic scans of when the media is inserted, connected, or logically mounted, OR • Performs continuous behavioral analysis of systems or processes when the media is inserted, connected, or logically mounted.  Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
5.3.4,PCI DSS v4.0-5.3.4,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,"5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.",5.3.4 Audit logs for the anti-malware solution(s) are enabled and retained in accordance with Requirement 10.5.1.,
5.3.5,PCI DSS v4.0-5.3.5,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,"5.3 Anti-malware mechanisms and processes are active, maintained, and monitored.","5.3.5 Anti-malware mechanisms cannot be disabled or altered by users, unless specifically documented, and authorized by management on a case-by-case basis for a limited time period.  Applicability Notes Anti-malware solutions may be temporarily disabled only if there is a legitimate technical need, as authorized by management on a case-by-case basis. If anti-malware protection needs to be disabled for a specific purpose, it must be formally authorized. Additional security measures may also need to be implemented for the period during which anti-malware protection is not active.",
5.4.1,PCI DSS v4.0-5.4.1,PCI DSS v4.0,Requirement 5: Protect All Systems and Networks from Malicious Software,5.4 Anti-phishing mechanisms protect users against phishing attacks.,"5.4.1 Processes and automated mechanisms are in place to detect and protect personnel against phishing attacks.  Applicability Notes This requirement applies to the automated mechanism. It is not intended that the systems and services providing such automated mechanisms (such as email servers) are brought into scope for PCI DSS. The focus of this requirement is on protecting personnel with access to system components in-scope for PCI DSS. Meeting this requirement for technical and automated controls to detect and protect personnel against phishing is not the same as Requirement 12.6.3.1 for security awareness training. Meeting this requirement does not also meet the requirement for providing personnel with security awareness training, and vice versa. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
6.1.1,PCI DSS v4.0-6.1.1,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.1 Processes and mechanisms for developing and maintaining secure systems and software are defined and understood.,6.1.1 All security policies and operational procedures that are identified in Requirement 6 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,
6.1.2,PCI DSS v4.0-6.1.2,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.1 Processes and mechanisms for developing and maintaining secure systems and software are defined and understood.,"6.1.2 Roles and responsibilities for performing activities in Requirement 6 are documented, assigned, and understood.  New requirement - effective immediately",
6.2.1,PCI DSS v4.0-6.2.1,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.2 Bespoke and custom software is developed securely.,"6.2.1 Bespoke and custom software are developed securely, as follows: • Based on industry standards and/or best practices for secure development.  • In accordance with PCI DSS (for example, secure authentication and logging).  • Incorporating consideration of information security issues during each stage of the software development lifecycle.  Applicability Notes This applies to all software developed for or by the entity for the entity's own use. This includes both bespoke and custom software. This does not apply to third-party software.",
6.2.2,PCI DSS v4.0-6.2.2,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.2 Bespoke and custom software is developed securely.,"6.2.2 Software development personnel working on bespoke and custom software are trained at least once every 12 months as follows:  • On software security relevant to their job function and development languages. • Including secure software design and secure coding techniques. • Including, if security testing tools are used, how to use the tools for detecting vulnerabilities in software. Applicability Notes: This requirement for code reviews applies to all bespoke and custom software (both internal and public facing), as part of the system development lifecycle. Public-facing web applications are also subject to additional controls, to address ongoing threats and vulnerabilities after implementation, as defined at PCI DSS Requirement 6.4. Code reviews may be performed using either manual or automated processes, or a combination of both.",
6.2.3,PCI DSS v4.0-6.2.3,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.2 Bespoke and custom software is developed securely.,"6.2.3 Bespoke and custom software is reviewed prior to being released into production or to customers, to identify and correct potential coding vulnerabilities, as follows: • Code reviews ensure code is developed according to secure coding guidelines. • Code reviews look for both existing and emerging software vulnerabilities. • Appropriate corrections are implemented prior to release.",
6.2.3.1,PCI DSS v4.0-6.2.3.1,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.2 Bespoke and custom software is developed securely.,"6.2.3.1 If manual code reviews are performed for bespoke and custom software prior to release to production, code changes are: • Reviewed by individuals other than the originating code author, and who are knowledgeable about code-review techniques and secure coding practices. • Reviewed and approved by management prior to release. Applicability Notes Manual code reviews can be conducted by knowledgeable internal personnel or knowledgeable third-party personnel. An individual that has been formally granted accountability for release control and who is neither the original code author nor the code reviewer fulfills the criteria of being management.",
6.2.4,PCI DSS v4.0-6.2.4,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.2 Bespoke and custom software is developed securely.,"6.2.4 Software engineering techniques or other methods are defined and in use by software development personnel to prevent or mitigate common software attacks and related vulnerabilities for bespoke and custom software, including but not limited to the following: • Injection attacks, including SQL, LDAP, XPath, or other command, parameter, object, fault, or injection-type flaws. • Attacks on data and data structures, including attempts to manipulate buffers, pointers, input data, or shared data. • Attacks on cryptography usage, including attempts to exploit weak, insecure, or inappropriate cryptographic implementations, algorithms, cipher suites, or modes of operation. • Attacks on business logic, including attempts to abuse or bypass application features and functionalities through the manipulation of APIs, communication protocols and channels, client-side functionality, or other system/application functions and resources. This includes cross-site scripting (XSS) and cross-site request forgery (CSRF). • Attacks on access control mechanisms, including attempts to bypass or abuse identification, authentication, or authorization mechanisms, or attempts to exploit weaknesses in the implementation of such mechanisms. • Attacks via any “high-risk” vulnerabilities identified in the vulnerability identification process, as defined in Requirement 6.3.1.  Applicability Notes This applies to all software developed for or by the entity for the entity's own use. This includes both bespoke and custom software. This does not apply to third-party software.",
6.3.1,PCI DSS v4.0-6.3.1,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.3 Security vulnerabilities are identified and addressed.,"6.3.1 Security vulnerabilities are identified and managed as follows:  • New security vulnerabilities are identified using industry-recognized sources for security vulnerability information, including alerts from international and national computer emergency response teams (CERTs). • Vulnerabilities are assigned a risk ranking based on industry best practices and consideration of potential impact.  • Risk rankings, at a minimum, identify all vulnerabilities considered to be a high-risk or critical to the environment.  • Vulnerabilities for bespoke and custom, and third-party software (for example operating systems and databases) are covered.  Applicability Notes This requirement is not achieved by, nor is it the same as, vulnerability scans performed for Requirements 11.3.1 and 11.3.2. This requirement is for a process to actively monitor industry sources for vulnerability information and for the entity to determine the risk ranking to be associated with each vulnerability.",
6.3.2,PCI DSS v4.0-6.3.2,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.3 Security vulnerabilities are identified and addressed.,"6.3.2 An inventory of bespoke and custom software, and third-party software components incorporated into bespoke and custom software is maintained to facilitate vulnerability and patch management.  Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
6.3.3,PCI DSS v4.0-6.3.3,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.3 Security vulnerabilities are identified and addressed.,"6.3.3 All system components are protected from known vulnerabilities by installing applicable security patches/updates as follows:  • Critical or high-security patches/updates (identified according to the risk ranking process at Requirement 6.3.1) are installed within one month of release.  • All other applicable security patches/updates are installed within an appropriate time frame as determined by the entity (for example, within three months of release).",
6.4.1,PCI DSS v4.0-6.4.1,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.4 Public-facing web applications are protected against attacks.,"6.4.1 For public-facing web applications, new threats and vulnerabilities are addressed on an ongoing basis and these applications are protected against known attacks as follows: • Reviewing public-facing web applications via manual or automated application vulnerability security assessment tools or methods as follows: • At least once every 12 months and after significant changes. • By an entity that specializes in application security. • Including, at a minimum, all common software attacks in Requirement 6.2.4. • All vulnerabilities are ranked in accordance with requirement 6.3.1. • All vulnerabilities are corrected. • The application is re-evaluated after the corrections OR • Installing an automated technical solution(s) that continually detects and prevents web-based attacks as follows: • Installed in front of public-facing web applications to detect and prevent web-based attacks. • Actively running and up to date as applicable. • Generating audit logs.  • Configured to either block web-based attacks or generate an alert that is immediately investigated. Applicability Notes This assessment is not the same as the vulnerability scans performed for Requirement 11.3.1 and 11.3.2. This requirement will be superseded by Requirement 6.4.2 after 31 March 2025 when Requirement 6.4.2 becomes effective.",
6.4.2,PCI DSS v4.0-6.4.2,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.4 Public-facing web applications are protected against attacks.,"6.4.2 For public-facing web applications, an automated technical solution is deployed that continually detects and prevents web-based attacks, with at least the following: • Is installed in front of public-facing web applications and is configured to detect and prevent web-based attacks. • Actively running and up to date as applicable.  • Generating audit logs. • Configured to either block web-based attacks or generate an alert that is immediately investigated.  Applicability Notes This new requirement will replace Requirement 6.4.1 once its effective date is reached. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
6.4.3,PCI DSS v4.0-6.4.3,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.4 Public-facing web applications are protected against attacks.,"6.4.3 All payment page scripts that are loaded and executed in the consumer's browser are managed as follows: • A method is implemented to confirm that each script is authorized. • A method is implemented to assure the integrity of each script.  • An inventory of all scripts is maintained with written justification as to why each is necessary.  Applicability Notes This requirement applies to all scripts loaded from the entity's environment and scripts loaded from third and fourth parties. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
6.5.1,PCI DSS v4.0-6.5.1,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.5 Changes to all system components are managed securely.,"6.5.1 Changes to all system components in the production environment are made according to established procedures that include:  • Reason for, and description of, the change.  • Documentation of security impact.  • Documented change approval by authorized parties. • Testing to verify that the change does not adversely impact system security. • For bespoke and custom software changes, all updates are tested for compliance with Requirement 6.2.4 before being deployed into production.  • Procedures to address failures and return to a secure state.",
6.5.2,PCI DSS v4.0-6.5.2,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.5 Changes to all system components are managed securely.,"6.5.2 Upon completion of a significant change, all applicable PCI DSS requirements are confirmed to be in place on all new or changed systems and networks, and documentation is updated as applicable. Applicability Notes These significant changes should also be captured and reflected in the entity's annual PCI DSS scope confirmation activity per Requirement 12.5.2.",
6.5.3,PCI DSS v4.0-6.5.3,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.5 Changes to all system components are managed securely.,6.5.3 Pre-production environments are separated from production environments and the separation is enforced with access controls.,
6.5.4,PCI DSS v4.0-6.5.4,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.5 Changes to all system components are managed securely.,"6.5.4 Roles and functions are separated between production and pre-production environments to provide accountability such that only reviewed and approved changes are deployed. Applicability Notes In environments with limited personnel where individuals perform multiple roles or functions, this same goal can be achieved with additional procedural controls that provide accountability. For example, a developer may also be an administrator that uses an administrator-level account with elevated privileges in the development environment and, for their developer role, they use a separate account with user-level access to the production environment.",
6.5.5,PCI DSS v4.0-6.5.5,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.5 Changes to all system components are managed securely.,"6.5.5 Live PANs are not used in pre-production environments, except where those environments are included in the CDE and protected in accordance with all applicable PCI DSS requirements.",
6.5.6,PCI DSS v4.0-6.5.6,PCI DSS v4.0,Requirement 6: Develop and Maintain Secure Systems and Software,6.5 Changes to all system components are managed securely.,6.5.6 Test data and test accounts are removed from system components before the system goes into production.,
7.1.1,PCI DSS v4.0-7.1.1,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7.1 Processes and mechanisms for restricting access to system components and cardholder data by business need to know are defined and understood.,"7.1.1 All security policies and operational procedures that are identified in Requirement 7 are: • Documented,  • Kept up to date • In use  • Known to all affected parties.",
7.1.2,PCI DSS v4.0-7.1.2,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7.1 Processes and mechanisms for restricting access to system components and cardholder data by business need to know are defined and understood.,"7.1.2 Roles and responsibilities for performing activities in Requirement 7 are documented, assigned, and understood.  New requirement - effective immediately",
7.2.1,PCI DSS v4.0-7.2.1,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,"7.2.1 An access control model is defined and includes granting access as follows: • Appropriate access depending on the entity's business and access needs.  • Access to system components and data resources that is based on users' job classification and functions.  • The least privileges required (for example, user, administrator) to perform a job function.",
7.2.2,PCI DSS v4.0-7.2.2,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,"7.2.2 Access is assigned to users, including privileged users, based on:  • Job classification and function. • Least privileges necessary to perform job responsibilities.",
7.2.3,PCI DSS v4.0-7.2.3,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,7.2.3 Required privileges are approved by authorized personnel.,
7.2.4,PCI DSS v4.0-7.2.4,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,"7.2.4 All user accounts and related access privileges, including third-party/vendor accounts, are reviewed as follows: • At least once every six months • To ensure user accounts and access remain appropriate based on job function.  • Any inappropriate access is addressed. • Management acknowledges that access remains appropriate.  Applicability Notes This requirement applies to all user accounts and related access privileges, including those used by personnel and third parties/vendors, and accounts used to access third-party cloud services.  See Requirements 7.2.5 and 7.2.5.1 and 8.6.1 through 8.6.3 for controls for application and system accounts. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
7.2.5,PCI DSS v4.0-7.2.5,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,"7.2.5 All application and system accounts and related access privileges are assigned and managed as follows: • Based on the least privileges necessary for the operability of the system or application. • Access is limited to the systems, applications, or processes that specifically require their use.  Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
7.2.5.1,PCI DSS v4.0-7.2.5.1,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,"7.2.5.1 All access by application and system accounts and related access privileges are reviewed as follows: • Periodically (at the frequency defined in the entity's targeted risk analysis, which is performed according to all elements specified in Requirement 12.3.1). • The application/ system access remains appropriate for the function being performed.  • Any inappropriate access is addressed. • Management acknowledges that access remains appropriate. Applicability Notes This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment.",
7.2.6,PCI DSS v4.0-7.2.6,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7. 2 Access to system components and data is appropriately defined and assigned.,"7.2.6 All user access to query repositories of stored cardholder data is restricted as follows: • Via applications or other programmatic methods, with access and allowed actions based on user roles and least privileges. • Only the responsible administrator(s) can directly access or query repositories of stored CHD. Applicability Notes This requirement applies to controls for user access to query repositories of stored cardholder data.  See Requirements 7.2.5 and 7.2.5.1 and 8.6.1 through 8.6.3 for controls for application and system accounts.",
7.3.1,PCI DSS v4.0-7.3.1,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7.3 Logical access to system components and data is managed via an access control system(s).,7.3.1 An access control system(s) is in place that restricts access based on a user's need to know and covers all system components.,
7.3.2,PCI DSS v4.0-7.3.2,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7.3 Logical access to system components and data is managed via an access control system(s).,"7.3.2 The access control system(s) is configured to enforce privileges assigned to individuals, applications, and systems based on job classification and function.",
7.3.3,PCI DSS v4.0-7.3.3,PCI DSS v4.0,Requirement 7: Restrict Access to System Components and Cardholder Data by Business Need to Know,7.3 Logical access to system components and data is managed via an access control system(s).,7.3.3 The access control system(s) is set to “deny all” by default.,
8.1.1,PCI DSS v4.0-8.1.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8. 1Processes and mechanisms to perform activities in Requirement 8 are defined and understood.,8.1.1 All security policies and operational procedures that are identified in Requirement 8 are: • Documented. • Kept up to date. • In use. • Known to all affected parties.,
8.1.2,PCI DSS v4.0-8.1.2,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8. 1Processes and mechanisms to perform activities in Requirement 8 are defined and understood.,"8.1.2 Roles and responsibilities for performing activities in Requirement 8 are documented, assigned, and understood. New requirement - effective immediately",
8.2.1,PCI DSS v4.0-8.2.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,8.2.1 All users are assigned a unique ID before access to system components or cardholder data is allowed. Applicability Notes This requirement is not intended to apply to user accounts within point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals).,
8.2.2,PCI DSS v4.0-8.2.2,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,"8.2.2 Group, shared, or generic accounts, or other shared authentication credentials are only used when necessary on an exception basis, and are managed as follows: • Account use is prevented unless needed for an exceptional circumstance. • Use is limited to the time needed for the exceptional circumstance. • Business justification for use is documented. • Use is explicitly approved by management.  • Individual user identity is confirmed before access to an account is granted. • Every action taken is attributable to an individual user.  Applicability Notes This requirement is not intended to apply to user accounts within point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals).",
8.2.3,PCI DSS v4.0-8.2.3,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,"8.2.3 Additional requirement for service providers only: Service providers with remote access to customer premises use unique authentication factors for each customer premises. Applicability Notes This requirement applies only when the entity being assessed is a service provider. This requirement is not intended to apply to service providers accessing their own shared services environments, where multiple customer environments are hosted. If service provider employees use shared authentication factors to remotely access customer premises, these factors must be unique per customer and managed in accordance with Requirement 8.2.2.",
8.2.4,PCI DSS v4.0-8.2.4,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,"8.2.4 Addition, deletion, and modification of user IDs, authentication factors, and other identifier objects are managed as follows: • Authorized with the appropriate approval. • Implemented with only the privileges specified on the documented approval. Applicability Notes This requirement applies to all user accounts, including employees, contractors, consultants, temporary workers and third-party vendors.",
8.2.5,PCI DSS v4.0-8.2.5,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,8.2.5 Access for terminated users is immediately revoked,
8.2.6,PCI DSS v4.0-8.2.6,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,8.2.6 Inactive user accounts are removed or disabled within 90 days of inactivity.,
8.2.7,PCI DSS v4.0-8.2.7,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,"8.2.7 Accounts used by third parties to access, support, or maintain system components via remote access are managed as follows: • Enabled only during the time period needed and disabled when not in use. • Use is monitored for unexpected activity.",
8.2.8,PCI DSS v4.0-8.2.8,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.2 User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle.,"8.2.8 If a user session has been idle for more than 15 minutes, the user is required to re-authenticate to re-activate the terminal or session. Applicability Notes This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals). This requirement is not meant to prevent legitimate activities from being performed while the console/PC is unattended.",
8.3.1,PCI DSS v4.0-8.3.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.1 All user access to system components for users and administrators is authenticated via at least one of the following authentication factors: • Something you know, such as a password or passphrase. • Something you have, such as a token device or smart card. • Something you are, such as a biometric element. Applicability Notes This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals). This requirement does not supersede multi-factor authentication (MFA) requirements but applies to those in-scope systems not otherwise subject to MFA requirements. A digital certificate is a valid option for “something you have” if it is unique for a particular user.",
8.3.10,PCI DSS v4.0-8.3.10,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.10 Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access to cardholder data (i.e., in any single-factor authentication implementation), then guidance is provided to customer users including: • Guidance for customers to change their user passwords/passphrases periodically. • Guidance as to when, and under what circumstances, passwords/passphrases are to be changed. Applicability Notes This requirement applies only when the entity being assessed is a service provider. This requirement does not apply to accounts of consumer users accessing their own payment card information. This requirement for service providers will be superseded by Requirement 8.3.10.1 once 8.3.10.1 becomes effective.",
8.3.10.1,PCI DSS v4.0-8.3.10.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.10.1 Additional requirement for service providers only: If passwords/passphrases are used as the only authentication factor for customer user access (i.e., in any single-factor authentication implementation) then either: • Passwords/passphrases are changed at least once every 90 days,  OR • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly. Applicability Notes This requirement applies only when the entity being assessed is a service provider. This requirement does not apply to accounts of consumer users accessing their own payment card information. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment. Until this requirement is effective on 31 March 2025, service providers may meet either Requirement 8.3.10 or 8.3.10.1.",
8.3.11,PCI DSS v4.0-8.3.11,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.11 Where authentication factors such as physical or logical security tokens, smart cards, or certificates are used:  • Factors are assigned to an individual user and not shared among multiple users.  • Physical and/or logical controls ensure only the intended user can use that factor to gain access.",
8.3.2,PCI DSS v4.0-8.3.2,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,8.3.2 Strong cryptography is used to render all authentication factors unreadable during transmission and storage on all system components.,
8.3.3,PCI DSS v4.0-8.3.3,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,8.3.3 User identity is verified before modifying any authentication factor.,
8.3.4,PCI DSS v4.0-8.3.4,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,8.3.4 Invalid authentication attempts are limited by:  • Locking out the user ID after not more than 10 attempts. • Setting the lockout duration to a minimum of 30 minutes or until the user's identity is confirmed.  Applicability Notes This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals).,
8.3.5,PCI DSS v4.0-8.3.5,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.5 If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they are set and reset for each user as follows:  • Set to a unique value for first-time use and upon reset. • Forced to be changed immediately after the first use.",
8.3.6,PCI DSS v4.0-8.3.6,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.6 If passwords/passphrases are used as authentication factors to meet Requirement 8.3.1, they meet the following minimum level of complexity:  • A minimum length of 12 characters (or IF the system does not support 12 characters, a minimum length of eight characters). • Contain both numeric and alphabetic characters. Applicability Notes This requirement is not intended to apply to:  • User accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals). • Application or system accounts, which are governed by requirements in section 8.6. This requirement is a best practice until 31 March 2025, after which it will be required and must be fully considered during a PCI DSS assessment. Until 31 March 2025, passwords must be a minimum length of seven characters in accordance with PCI DSS v3.2.1 Requirement 8.2.3.",
8.3.7,PCI DSS v4.0-8.3.7,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,8.3.7 Individuals are not allowed to submit a new password/passphrase that is the same as any of the last four passwords/passphrases used. Applicability Notes This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals).,
8.3.8,PCI DSS v4.0-8.3.8,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,8.3.8 Authentication policies and procedures are documented and communicated to all users including:  • Guidance on selecting strong authentication factors. • Guidance for how users should protect their authentication factors. • Instructions not to reuse previously used passwords/passphrases. • Instructions to change passwords/passphrases if there is any suspicion or knowledge that the password/passphrases have been compromised and how to report the incident.,
8.3.9,PCI DSS v4.0-8.3.9,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.3 Strong authentication for users and administrators is established and managed.,"8.3.9 If passwords/passphrases are used as the only authentication factor for user access (i.e., in any single-factor authentication implementation) then either: • Passwords/passphrases are changed at least once every 90 days,  OR • The security posture of accounts is dynamically analyzed, and real-time access to resources is automatically determined accordingly.  Applicability Notes This requirement applies to in-scope system components that are not in the CDE because these components are not subject to MFA requirements. This requirement is not intended to apply to user accounts on point-of-sale terminals that have access to only one card number at a time to facilitate a single transaction (such as IDs used by cashiers on point-of-sale terminals). This requirement does not apply to service providers' customer accounts but does apply to accounts for service provider personnel.",
8.4.1,PCI DSS v4.0-8.4.1,PCI DSS v4.0,Requirement 8: Identify Users and Authenticate Access to System Components,8.4 Multi-factor authentication (MFA) systems are configured to prevent misuse.,"8.4.1 MFA is implemented for all non-console access into the CDE for personnel with administrative access.  Applicability Notes The requirement for MFA for non-console administrative access applies to all personnel with elevated or increased privileges accessing the CDE via a non-console connection—that is, via logical access occurring over a network interface rather than via a direct, physical connection.  MFA is considered a best practice for non-console administrative access to in-scope system components that are not part of the CDE.",
